county,id,yes1,no1,yes5,no5,yes7,no7,yes8,no8,yes9,no9
Jefferson,099,14383,17570,20175,11566,12128,19953,14840,16805,23668,7980
Johnson,101,4803,3660,5839,2609,4223,4278,4053,4344,6758,1630
Kansas City,000,14160,23025,12145,25167,18926,18715,17237,19916,26999,9886
Knox,103,775,439,896,264,659,531,567,579,883,231
Laclede,105,5015,2103,5790,1239,3009,4063,3194,3784,5761,1184
Lafayette,107,4950,2261,5254,1892,3423,3825,3716,3408,5854,1261
Lawrence,109,4687,2699,5727,1584,3251,4145,3406,3834,6063,1168
Lewis,111,1185,609,1372,370,875,882,937,778,1387,322
Lincoln,113,6071,3280,6763,2510,3808,5596,4615,4439,7143,1884
Linn,115,1486,970,1806,624,1257,1184,1111,1299,1836,459
Livingston,117,1702,1053,1981,713,1404,1328,1324,1344,2034,638
Macon,121,2323,1303,2720,849,1658,1940,1817,1724,2817,655
Madison,123,1218,664,1387,465,747,1128,858,979,1377,370
Maries,125,1653,581,1725,457,982,1238,1106,1063,1706,461
Marion,127,2797,2005,3531,1202,2548,2284,2346,2328,3826,779
McDonald,119,2082,651,2260,422,1215,1471,1423,1232,2229,406
Mercer,129,860,132,794,148,481,485,514,353,753,116
Miller,131,3444,1441,3694,1086,2199,2615,2513,2209,3721,967
Mississippi,133,1888,685,1873,614,1221,1340,1388,1064,1874,586
Moniteau,135,2470,866,2496,700,1594,1713,1546,1628,2481,675
Monroe,137,1302,813,1536,526,1065,1047,1087,914,1557,440
Montgomery,139,1882,704,1960,582,1402,1159,1418,1099,1980,532
Morgan,141,2911,1514,3370,973,2134,2273,2407,1891,3517,762
New Madrid,143,1923,1293,2322,850,1424,1794,1660,1433,2354,736
Newton,145,5860,3032,6780,2101,4125,4771,4287,4533,7373,1438
Nodaway,147,2704,1662,2959,1358,1913,2451,1842,2458,3175,1113
Oregon,149,990,794,1281,486,547,1239,697,1063,1242,445
Osage,151,2876,824,2808,809,1754,1907,1908,1690,2808,751
Ozark,153,1345,1187,1847,630,759,1742,1111,1334,1900,541
Pemiscot,155,1321,808,1637,473,1231,945,1377,720,1614,468
Perry,157,3783,1274,3598,1205,2024,2956,2643,2184,3753,1014
Pettis,159,4970,2546,5656,1768,3822,3633,3987,3394,6047,1315
Phelps,161,4777,2830,5449,2110,3057,4567,3580,3948,5941,1585
Pike,163,1997,1058,2208,779,1556,1460,1539,1372,2287,615
Platte,165,6344,7218,7907,5634,5317,8317,5965,7546,10668,2865
Polk,167,4754,1614,5045,1192,2791,3549,2852,3351,5166,1021
Pulaski,169,3260,1616,3902,896,2217,2598,2598,2169,3959,794
Putnam,171,990,195,1007,151,560,572,613,501,928,182
Ralls,173,1251,895,1651,468,1018,1133,1001,1058,1687,335
Randolph,175,2386,1590,2928,1026,1799,2185,1979,1891,3050,715
Ray,177,2859,1662,3293,1170,2037,2419,2265,2123,3501,890
Reynolds,179,1131,689,1338,469,661,1122,869,882,1249,483
Ripley,181,1161,543,1351,336,762,923,842,799,1308,341
Saline,195,3061,1227,3078,1105,2380,1824,2205,1919,3329,768
Schuyler,197,500,344,616,216,365,474,436,344,587,190
Scotland,199,435,550,711,250,470,511,497,463,715,211
Scott,201,4313,2061,4830,1469,2604,3777,3104,3134,4968,1138
Shannon,203,700,644,977,358,499,853,516,815,965,326
Shelby,205,1237,451,1273,360,777,859,726,852,1222,350
St. Charles,183,28832,31866,36723,23624,22950,38197,26918,32856,44874,14853
St. Clair,185,1957,690,2103,497,1288,1344,1258,1324,2092,493
St. Francois,187,3651,2794,4528,1856,2730,3737,3123,3213,4897,1356
St. Louis County,189,65549,122066,77050,110059,62767,126920,70447,114431,115750,68591
St. Louis City,510,9064,25148,10011,24263,11108,23568,12620,21654,21348,12934
Ste. Genevieve,186,2401,1395,2462,1209,1634,2178,1958,1613,2617,883
Stoddard,207,2955,1907,3667,1147,2141,2656,2192,2523,3758,959
Stone,209,3152,3181,4843,1452,2889,3410,3030,3200,5095,1120
Sullivan,211,905,249,894,232,522,659,148,561,852,247
Taney,213,4368,4285,6484,2111,3853,4795,3831,4708,6948,1581
Texas,215,3105,1797,3893,968,1717,3191,2155,2709,3865,983
Vernon,217,2553,811,2584,746,1617,1718,1741,1573,2676,636
Warren,219,4574,2732,5142,2083,3072,4284,3695,3508,5591,1591
Washington,221,2063,1111,2496,655,1278,1922,1645,1482,2470,649
Wayne,223,1347,1124,1818,660,1008,1507,1092,1369,1788,637
Webster,225,4577,3283,5859,1927,3396,4488,3451,4318,6150,1519
