acquired,parcel,handle,owner,address
city,23450001200,12345000120,NORTHSIDE REGENERATION LLC,2216 North Market St.
city,23450001300,12345000130,NORTHSIDE REGENERATION LLC,2210-2214 North Market St.
city,23450001400,12345000140,NORTHSIDE REGENERATION LLC,2208 North Market St.
city,23450001500,12345000150,NORTHSIDE REGENERATION LLC,2204-2206 North Market St.
city,23450001600,12345000160,NORTHSIDE REGENERATION LLC,2202 North Market St.
city,23450001700,12345000170,NORTHSIDE REGENERATION LLC,2200 North Market St.
city,23450001800,12345000180,NORTHSIDE REGENERATION LLC,1831 N. 22Nd St.
city,23450001900,12345000190,NORTHSIDE REGENERATION LLC,1829 N. 22Nd St.
city,23450002500,12345000250,NORTHSIDE REGENERATION LLC,2231-2233 Maiden La.
city,23450002900,12345000290,NORTHSIDE REGENERATION LLC,1814-1816 N. 23Rd St.
city,23450003100,12345000310,NORTHSIDE REGENERATION LLC,1818 N. 23Rd St.
city,23460001400,12346000140,NORTHSIDE REGENERATION LLC,2310-2312 North Market St.
city,23180001150,12318000115,NORTHSIDE REGENERATION LLC,2316 Howard St.
city,10810000600,11081000060,NORTHSIDE REGENERATION LLC,2530 Benton St.
city,10840001700,11084000170,NORTHSIDE REGENERATION LLC,2300 Montgomery St.
city,10930000200,11093000020,NORTHSIDE REGENERATION LLC,2242 Montgomery St.
city,10930000300,11093000030,NORTHSIDE REGENERATION LLC,2240 Montgomery St.
city,10930002800,11093000280,NORTHSIDE REGENERATION LLC,2233 Warren St.
city,23450003200,12345000320,NORTHSIDE REGENERATION LLC,1820 N. 23Rd St.
city,23450003300,12345000330,NORTHSIDE REGENERATION LLC,1822 N. 23Rd St.
city,23450003400,12345000340,NORTHSIDE REGENERATION LLC,1824 N. 23Rd St.
city,23150002400,12315000240,NORTHSIDE REGENERATION LLC,2317 Cass Av.
city,23150000800,12315000080,NORTHSIDE REGENERATION LLC,2330 Mullanphy St.
city,23150000900,12315000090,NORTHSIDE REGENERATION LLC,2326 Mullanphy St.
city,23150001000,12315000100,NORTHSIDE REGENERATION LLC,2324 Mullanphy St.
city,23150001100,12315000110,NORTHSIDE REGENERATION LLC,2322 Mullanphy St.
city,23150001600,12315000160,NORTHSIDE REGENERATION LLC,2310 Mullanphy St.
city,23150001700,12315000170,NORTHSIDE REGENERATION LLC,2308 Mullanphy St.
city,23150001800,12315000180,NORTHSIDE REGENERATION LLC,2300-2306 Mullanphy St.
city,23180000210,12318000021,NORTHSIDE REGENERATION LLC,2344 Howard St.
city,23180000250,12318000025,NORTHSIDE REGENERATION LLC,2342 Howard St.
city,23180000300,12318000030,NORTHSIDE REGENERATION LLC,2336 Howard St.
