AreaName,combination,smrs
Putnam County,17155,1.542775086
Randolph County,17157,1.479375937
Richland County,17159,1.632716478
Rock Island County,17161,1.650911233
St. Clair County,17163,1.145623919
Saline County,17165,1.958956714
Sangamon County,17167,1.597599965
Schuyler County,17169,1.921559178
Scott County,17171,1.650269817
Shelby County,17173,1.429878463
Stark County,17175,1.689579625
Stephenson County,17177,1.462411295
Tazewell County,17179,1.477028296
Union County,17181,1.797427813
Vermilion County,17183,1.646434521
Wabash County,17185,1.758806559
Warren County,17187,1.703411499
Washington County,17189,1.52139055
Wayne County,17191,1.696506847
White County,17193,2.091964977
Whiteside County,17195,1.572597643
Will County,17197,1.046646924
Williamson County,17199,2.039013949
Winnebago County,17201,1.416144485
Woodford County,17203,1.761898756
