school_id,SCHOOL_NAME,school_type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1151153280,L'OUVERTURE MIDDLE SCH.,slps,72.18045112781954887218045113,74.59459459459459459459459459,90.92827004219409282700421941,92.64367816091954022988505747,91.47727272727272727272727273,96.06481481481481481481481481,97.36263736263736263736263736,98.24561403508771929824561404,98.06295399515738498789346247,98.30508474576271186440677966,99.19786096256684491978609626,98.08153477218225419664268585,99.30232558139534883720930233,98.33333333333333333333333333,99.10447761194029850746268657,99.31972789115646258503401361,99.52830188679245283018867925,96.61835748792270531400966184,94.39655172413793103448275862,96.00,96.51162790697674418604651163,94.95798319327731092436974790,96.07843137254901960784313725,,,,
1159283910,LA SALLE CHARTER SCHOOL,charter,,,,,,,,,,,,,,,,,,,,,,,,,,98.86363636363636363636363636,98.07692307692307692307692308
1151155060,LACLEDE ELEM.,slps,99.76851851851851851851851852,99.69512195121951219512195122,100,100,100,100,100,100,100,100,100,100,100,100,100,99.32203389830508474576271186,99.24242424242424242424242424,98.44961240310077519379844961,98.37398373983739837398373984,99.60937500,99.59183673469387755102040816,99.45355191256830601092896175,99.52830188679245283018867925,98.79032258064516129032258065,98.92857142857142857142857143,99.51456310679611650485436893,99.42857142857142857142857143
1151155080,LAFAYETTE ELEM.,slps,56.21621621621621621621621622,62.500,69.05829596412556053811659193,63.57142857142857142857142857,,,75.94654788418708240534521158,77.00421940928270042194092827,84.22090729783037475345167653,81.42857142857142857142857143,86.88524590163934426229508197,87.31884057971014492753623188,81.55737704918032786885245902,83.65384615384615384615384615,,,,,,,,,,,,,
1159246993,LAFAYETTE PREPARATORY ACADEMY,charter,,,,,,,,,,,,,,,,,,,,,,,,,72.72727272727272727272727273,71.17647058823529411764705882,64.80686695278969957081545064
1151153240,LANGSTON MIDDLE SCH.,slps,99.60159362549800796812749004,99.29824561403508771929824561,99.72602739726027397260273973,100,100,100,100,100,100,99.75786924939467312348668281,100,100,100,100,100,100,100,99.67845659163987138263665595,99.35483870967741935483870968,98.85057471264367816091954023,97.99331103678929765886287625,97.31543624161073825503355705,98.68421052631578947368421053,98.56115107913669064748201439,97.87234042553191489361702128,100,99.45054945054945054945054945
1151155100,LEXINGTON ELEM.,slps,100,100,99.66442953020134228187919463,100,100,100,100,100,99.79423868312757201646090535,100,100,100,99.64912280701754385964912281,100,100,99.65986394557823129251700680,100,100,100,98.81889763779527559055118110,100,99.21568627450980392156862745,99.60937500,100,99.41002949852507374631268437,100,99.70326409495548961424332344
1151153910,LIFT FOR LIFE ACADEMY,charter,,,,,,,,,,,96.82539682539682539682539683,97.97297297297297297297297297,96.65071770334928229665071770,100,99.60159362549800796812749004,98.76543209876543209876543210,95.43726235741444866920152091,,,,,,,,,,
1159023910,LIFT FOR LIFE ACADEMY,charter,,,,,,,,,,,,,,,,,,94.73684210526315789473684211,94.85714285714285714285714286,93.77880184331797235023041475,93.65079365079365079365079365,94.23076923076923076923076923,96.13899613899613899613899614,96.13899613899613899613899614,94.09448818897637795275590551,93.03278688524590163934426230,94.14062500
1159021935,LIFT FOR LIFE ACADEMY HIGH SCH,charter,,,,,,,,,,,,,,,,,,,,,,93.65079365079365079365079365,92.187500,92.63803680981595092024539877,92.13836477987421383647798742,91.52046783625730994152046784,92.23602484472049689440993789
