id,neighborhood,total,pop_2010,Homicide,Rape,Robbery,Agg. Assault,total_person,Burglary,Larceny,Auto Theft,Arson,total_property,points
79,North Riverfront,111,937,1,0,5,19,25,4,66,16,0,86,"390.138,332.748 375.208,324.579 359.642,318.271 349.768,303.34 340.513,285.822 334.523,271.113 328.863,261.209 349.276,250.183 332.314,230.34 330.749,227.082 330.053,222.816 333.725,201.251 337.925,176.923 339.127,173.291 341.442,170.137 345.604,167.396 348.163,165.406 348.695,164.476 354.73,160.518 357.279,162.795 360.574,165.185 363.934,166.336 368.628,166.336 393.176,171.417 388.098,187.577 386.284,198.9 385.834,220.89 395.567,252.535 420.051,285.822 442.198,304.271"
68,O'Fallon,376,5791,2,6,23,94,125,58,129,59,5,251,"341.415,328.872 321.07,339.251 300.604,367.395 328.113,379.079 335.585,367.044 350.685,373.354 364.595,355.009 374.613,344.862 383.598,335.879 369.984,342.521 365.329,337.623 352.794,343.932 347.257,337.508 343.51,333.654"
63,Old North St. Louis,170,1916,2,2,11,45,60,31,53,25,1,110,"416.328,414.812 445.364,420.41 471.967,471.911 448.635,466.885 449.088,463.741 447.886,461.736 443.255,460.704 440.58,459.412 436.664,451.927 418.294,417.021"
2,Patch,314,2695,1,6,11,34,52,66,134,51,11,262,"180.832,802.19 177.835,803.368 180.678,811.6 179.928,814.873 178.972,817.083 174.368,823.792 186.209,829.556 186.288,837.625 193.333,845.407 208.64,839.047 225.716,850.175 249.697,791.55 237.271,783.473 234.429,786.058 221.141,776.994 222.419,776 215.077,772.135"
33,Peabody-Darst-Webbe,219,2378,3,3,11,63,80,26,102,9,2,139,"421.564,545.273 396.886,540.129 392.399,553.107 390.46,563.037 387.346,572.344 396.022,576.573 398.994,573.442 412.449,558.483 418.137,552.292"
69,Penrose,518,6387,9,2,45,89,145,104,190,71,8,373,"247.058,344.629 259.792,325.096 264.874,327.205 268.092,324.048 272.951,325.744 279.389,315.646 284.304,317.896 292.68,321.399 301.058,321.981 321.07,321.283 330.969,320.7 336.49,323.623 339.477,325.716 341.415,328.754 321.234,339.251 300.604,367.162"
6,Princeton Heights,230,7619,0,1,5,8,14,62,119,33,2,216,"102.466,673.254 97.233,700.838 96.613,703.996 94.221,707.729 92.734,711.712 92.437,715.563 91.984,719.312 94.221,725.508 99.3,734.969 128.62,716.858 131.012,714.286 141.625,705.055 147.919,700.956 163.896,691.598 163.896,681.089 159.27,677.686 153,677.107 107.833,671.961"
75,Riverview,71,304,0,0,2,8,10,4,50,6,1,61,"351.461,156.473 353.477,155.722 358.558,149.646 363.793,145.511 384.58,135.349 398.736,124.336 414.944,110.167 429.463,97.809 429.387,95.935 430.796,95.65 439.986,87.545 450.381,73.777 458.384,67.663 467.96,59.957 479.712,37.051 482.682,21.136 483.965,16.005 482.841,3 513.867,6.038 542.125,12.153 528.682,27.251 520.599,39.609 513.413,52.434 510.736,70.39 505.334,77.862 484.702,99.321 456.896,112.145 441.926,124.749 408.432,149.712 392.582,170.706 368.045,166.105 366.185,166.208 363.211,166.105 360.071,164.76 355.286,161.372"
27,Shaw,287,6811,0,0,13,7,20,47,164,56,0,267,"232.412,547.265 230.022,557.903 225.975,579.867 283.397,585.466 290.572,552.515"
46,Skinker-DeBaliviere,280,4077,0,3,27,21,51,46,140,41,2,229,"67.345,441.921 73.613,416.686 133.43,422.542 129.926,444.841 127.74,444.493 126.836,449.806 77.285,444.66 77.131,443.614 75.85,443.02"
21,Soulard,336,3440,0,3,24,20,47,42,183,64,0,289,"437.441,561.642 435.048,567.354 428.738,573.663 421.28,581.495 410.796,595.638 401.23,610.248 398.257,610.945 378.659,636.323 377.755,639.125 374.16,632.688 372.064,627.077 371.642,623.562 375.362,608.486 381.658,584.884 382.989,581.963 385.834,581.032 388.976,573.56 395.993,576.247 398.257,574.839 413.379,571.647"
7,South Hampton,315,6904,0,0,11,17,28,75,177,34,1,287,"99.004,633.967 98.266,637.702 97.968,641.917 97.814,646.017 99.172,649.288 101.847,652.206 104.989,653.969 105.44,656.77 102.466,673.357 107.833,672.077 153.143,677.107 161.079,662.135 161.83,655.711 172.146,640.173 164.675,640.173 160.175,639.926"
13,Southwest Garden,211,4885,0,2,4,10,16,18,144,33,0,195,"110.676,594.706 184.854,602.062 189.79,576.469 208.329,578.005 209.688,568.413 219.991,553.69 220.584,551.351 231.212,552.292 232.412,547.149 218.502,546.102 196.358,546.683 192.027,566.655 171.072,571.685 166.16,572.266 121.897,568.529 118.756,585.13 115.911,589.19"
8,St. Louis Hills,243,7373,1,3,5,2,11,39,175,17,1,232,"99.198,735.061 89.837,741.847 65.329,717.996 55.892,708.352 51.042,703.207 46.391,700.982 40.946,694.03 30.101,682.977 28.161,678.062 23.739,667.901 22.382,663.221 29.803,658.192 35.634,654.508 41.154,651.758 82.288,632.301 86.489,631.834 99.198,633.348 97.543,642.359 97.994,646.907 99.933,650.542 104.109,653.344 105.622,656.498 96.805,703.84 93.058,709.684 92.022,716.949 92.022,721.732"
60,St. Louis Place,206,2939,2,4,19,37,62,33,90,19,2,144,"388.224,406.28 384.023,407.676 382.536,411.075 382.989,453.467 448.041,467.129 448.945,464.322 448.041,462.1 442.805,460.343 439.662,459.181 437.441,454.396 417.84,417.021 415.58,414.449 399.446,410.947"
31,The Gate District,231,3456,0,3,8,30,41,24,137,28,1,190,"362.655,533.006 357.123,546.566 353.695,562.324 327.223,560.229 320.486,559.299 313.894,557.075 308.528,554.737 302.245,553.458 290.287,552.398 293.131,537.298 299.571,519.897"
56,The Greater Ville,482,6189,17,4,37,124,182,110,111,71,8,300,"241.371,401.017 259.921,409.202 278.319,382.919 318.677,400.785 299.698,426.474 314.644,432.781 317.797,431.503 348.462,388.285 273.535,355.941"
12,The Hill,145,2443,0,0,1,7,8,24,94,19,0,137,"201.143,520.856 195.777,521.319 189.79,521.785 178.119,525.534 120.708,532.54 119.351,540.958 119.507,543.296 121.743,547.833 123.54,550.175 124.005,554.737 121.897,568.052 164.35,572.147 170.659,571.685 192.183,566.425"
57,The Ville,198,1868,2,1,10,46,59,30,78,28,3,139,"260.22,409.537 278.319,383.27 318.548,400.683 299.984,426.602"
29,Tiffany,98,1060,0,1,4,15,20,10,50,17,1,78,"299.571,519.962 280.878,515.994 276.677,528.895 273.083,534.52 270.779,550.521 290.287,552.267 292.68,538.294"
25,Tower Grove East,635,5853,0,7,51,56,114,132,301,85,3,521,"285.635,576.469 280.269,601.018 274.737,636.655 278.459,634.446 284.431,628.373 292.979,622.979 306.577,612.47 320.486,604.635 325.41,581.495"
15,Tower Grove South,893,13333,1,3,50,65,119,162,512,98,2,774,"186.496,592.951 183.496,611.421 179.902,625.783 179.448,630.116 172.276,640.405 272.927,651.044 280.102,601.018 278.319,600.537 195.001,592.833"
58,Vandeventer,174,1682,1,2,16,35,54,28,60,30,2,120,"315.731,433.48 270.716,413.635 251.416,440.136 296.299,459.412"
49,Visitation Park,58,960,0,1,3,8,12,8,32,6,0,46,"175.867,403.242 155.845,400.903 152.549,424.378 168.1,426.008 172.276,427.067"
72,Walnut Park East,354,4130,3,7,20,69,99,67,130,52,6,255,"216.731,268.774 218.956,265.23 232.115,257.216 243.865,250.286 255.54,238.445 284.833,271.874 238.049,297.135 225.768,291.771 221.425,288.099 218.904,285.757 216.436,274.215"
76,Walnut Park West,273,3349,4,2,22,59,87,70,75,37,4,186,"198.116,257.513 233.189,213.754 236.16,216.61 255.384,238.264 243.336,250.337 218.828,265.1 215.981,268.838 212.53,264.637 208.058,261.365"
50,Wells-Goodfellow,678,5895,15,8,52,140,215,140,244,72,7,463,"127.909,346.581 165.448,299.41 173.077,306.067 178.595,310.515 192.055,318.916 198.944,322.988 224.192,334.197 191.756,381.252"
48,West End,547,6574,6,6,53,102,167,76,228,71,5,380,"73.46,416.686 114.826,365.146 176.669,398.42 175.675,402.801 155.417,400.695 152.276,424.107"
45,Wydown-Skinker,28,1056,0,0,0,0,0,1,19,8,0,28,"57.157,493.086 61.956,464.35 62.394,461.301 63.892,459.901 63.672,458.505 64.876,457.977 64.707,456.346 65.329,454.703 67.188,441.972 75.85,443.02 74.067,454.125 70.486,464.465 67.771,475.153 64.422,493.902 63.75,496.654"
